,timestamp,Username,Retweets,Text,Mentions,Hashtags,Cleaned Tweets
12,Thu Feb 20 15:59:24 +0000 2020,1703621154,0,"You might mean “criminal violence”, @JoeBiden. The gun is not the perpetrator, the perpetrator is the perpetrator. Neither the gun nor the knife nor any other weapon is responsible for any crime of violence. The perpetrator is responsible. This distinction may be helpful for you.",@JoeBiden,,"['You', 'might', 'mean', '“criminal', 'violence”', '@JoeBiden', 'The', 'gun', 'perpetrator', 'perpetrator', 'perpetrator', 'Neither', 'gun', 'knife', 'weapon', 'responsible', 'crime', 'violence', 'The', 'perpetrator', 'responsible', 'This', 'distinction', 'may', 'helpful']"
13,Thu Feb 20 15:59:24 +0000 2020,47655301,0,Joe Biden https://twitter.com/thistallawkgirl/status/1230481163401269248 …,,,"['Joe', 'Biden', '1230481163401269248', '…']"
14,Thu Feb 20 15:59:24 +0000 2020,2897576917,0,"@mitchellreports Dear, darling AM WE know Ur BILLIONAIRE BOSSES are giving U daily talking point to read to undermine & sabotage Bernie. U are suppose to sell JOE BIDEN Mayor Pete, Amy to the Gullible Fools & Suckers,& finally as a last resort thenREPUBLICAN BILLIONAIRE Bloomberg pic.twitter.com/N0tDsai42C",@mitchellreports,,"['@mitchellreports', 'Dear', 'darling', 'AM', 'WE', 'know', 'Ur', 'BILLIONAIRE', 'BOSSES', 'giving', 'U', 'daily', 'talking', 'point', 'read', 'undermine', 'sabotage', 'Bernie', 'U', 'suppose', 'sell', 'JOE', 'BIDEN', 'Mayor', 'Pete', 'Amy', 'Gullible', 'Fools', 'Suckers', 'finally', 'last', 'resort', 'thenREPUBLICAN', 'BILLIONAIRE', 'Bloomberg', '42C']"
15,Thu Feb 20 15:59:20 +0000 2020,29560265,0,"@TheBeatWithAri , be careful when spreading disinformation. Joe Biden clearly said he his actions against Bloomberg were in response to Bloomberg's surveillance on mosques and Muslim citizens. Not #StopAndFrisk. You completely mischacterized it just now.",@TheBeatWithAri,#StopAndFrisk,"['@TheBeatWithAri', 'careful', 'spreading', 'disinformation', 'Joe', 'Biden', 'clearly', 'said', 'actions', 'Bloomberg', 'response', 'Bloombergs', 'surveillance', 'mosques', 'Muslim', 'citizens', 'Not', '#StopAndFrisk', 'You', 'completely', 'mischacterized']"
16,Thu Feb 20 15:59:18 +0000 2020,1226326479560007681,0,It makes you a BIGGER ass hat if you don’t know that the GOP controlled the US political narrative of the 1990’s and that Clinton NDAs a minority president who only was elected due to Ross Perot. In 1994 both Houses were Republican. That you think a GOP bill would not be worse,,,"['It', 'makes', 'BIGGER', 'ass', 'hat', 'don’t', 'know', 'GOP', 'controlled', 'US', 'political', 'narrative', '1990’s', 'Clinton', 'NDAs', 'minority', 'president', 'elected', 'due', 'Ross', 'Perot', 'In', '1994', 'Houses', 'Republican', 'That', 'think', 'GOP', 'bill', 'would', 'worse']"
17,Thu Feb 20 15:59:13 +0000 2020,1225935202452721665,0,Zzzzzzzzzz,,,['Zzzzzzzzzz']
18,Thu Feb 20 15:59:13 +0000 2020,532205048,0,Report: FBI Raids Company Linked to Joe Biden’s Brother http://bit.ly/3bRTvJE via @BreitbartNews,@BreitbartNews,,"['Report', 'FBI', 'Raids', 'Company', 'Linked', 'Joe', 'Biden’s', 'Brother', '3bRTvJE', 'via', '@BreitbartNews']"
19,Thu Feb 20 15:59:12 +0000 2020,842206655781695488,0,"So you are making 'James Dean moves'...REBELS MISDIRECTED, DISTRACTING FROM THE REAL CAUSE. GTFOHWTBS",,,"['So', 'making', 'James', 'Dean', 'movesREBELS', 'MISDIRECTED', 'DISTRACTING', 'FROM', 'THE', 'REAL', 'CAUSE', 'GTFOHWTBS']"
20,Thu Feb 20 15:59:11 +0000 2020,968301504,0,Why am I not seeing this story anyplace else?,,,"['Why', 'I', 'seeing', 'story', 'anyplace', 'else']"
21,Thu Feb 20 15:59:08 +0000 2020,1018806787779317761,0,". @JoeBiden can: Beat Trump, Win the Senate, Keep the House, Unite the Country, Lead on Day One, Restore Democracy, Rebuild Institutions, Work with Allies. Please @nvdems @scdp Vote @JoeBiden #VoteBlueNoMatterWho #TurnTheSenateBlue #KeepTheHouseBlue #WeKnowJoe #RidinWithBiden WINhttps://twitter.com/BoKnowsNews/status/1230641803122135041 …",@JoeBiden @nvdems @scdp @JoeBiden,#VoteBlueNoMatterWho #TurnTheSenateBlue #KeepTheHouseBlue #WeKnowJoe #RidinWithBiden,"['@JoeBiden', 'Beat', 'Trump', 'Win', 'Senate', 'Keep', 'House', 'Unite', 'Country', 'Lead', 'Day', 'One', 'Restore', 'Democracy', 'Rebuild', 'Institutions', 'Work', 'Allies', 'Please', '@nvdems', '@scdp', 'Vote', '@JoeBiden', '#VoteBlueNoMatterWho', '#TurnTheSenateBlue', '#KeepTheHouseBlue', '#WeKnowJoe', '#RidinWithBiden', 'WIN1230641803122135041', '…']"
